"CLOUD_COVER";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"index";"SATELLITE";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"WRS_PATH";"WRS_ROW";"year";"Date";"index_type"
14;3,939;2,625;2,937;0,733849517282036;"LANDSAT_7";93,24025;26,016376;223;66;1999;1999-10-17;"NDVI TEI 567027-C"
5;4,888;3,205;3,691;0,807678390162301;"LANDSAT_7";72,559723;33,212631;223;66;2000;2000-03-25;"NDVI TEI 567027-C"
8;4,969;2,918;4,022;0,774480743864117;"LANDSAT_7";46,813961;39,505764;223;66;2000;2000-05-12;"NDVI TEI 567027-C"
0;2,623;1,071;2,394;0,657232207363951;"LANDSAT_7";54,927845;38,333965;223;66;2000;2000-08-16;"NDVI TEI 567027-C"
4;4,065;2,958;2,789;0,778394177729775;"LANDSAT_7";95,495972;26,529404;223;66;2000;2000-10-19;"NDVI TEI 567027-C"
4;4,297;2,601;3,421;0,735914806669826;"LANDSAT_7";46,578506;40,347496;223;66;2001;2001-05-15;"NDVI TEI 567027-C"
0;4,737;2,465;4,045;0,724322956369815;"LANDSAT_7";43,946716;44,459682;223;66;2001;2001-07-02;"NDVI TEI 567027-C"
9;3,905;2,46;3,033;0,674209332734003;"LANDSAT_7";46,69743;43,530991;223;66;2001;2001-07-18;"NDVI TEI 567027-C"
1;5,191;2,209;4,697;0,634035866371344;"LANDSAT_7";56,473015;38,176014;223;66;2001;2001-08-19;"NDVI TEI 567027-C"
9;5,275;3,056;4,3;0,647491679115953;"LANDSAT_7";46,163979;40,996323;223;66;2002;2002-05-18;"NDVI TEI 567027-C"
2;4,108;2,634;3,152;0,744998929090591;"LANDSAT_7";43,49588;43,118061;223;66;2002;2002-06-03;"NDVI TEI 567027-C"
0;4,261;2,88;3,14;0,737168766429318;"LANDSAT_7";43,07703;44,418201;223;66;2002;2002-06-19;"NDVI TEI 567027-C"
0;4,396;2,69;3,477;0,70515078161124;"LANDSAT_7";44,535736;44,56649;223;66;2002;2002-07-05;"NDVI TEI 567027-C"
2;4,016;2,75;2,927;0,653342152403319;"LANDSAT_7";47,500172;43,396053;223;66;2002;2002-07-21;"NDVI TEI 567027-C"
